07530 74089B   AO-07
14781 84021B   UO-11
20442 90005G   LO-19
20580 90037B   HUBBLE
22782 93055A   MET-2/21
22825 93061C   AO-27
22826 93061D   IO-26
24278 96046B   FO-29
25338 98030A   NOAA-15
25397 98043D   GO-32
25544 98067A   ISS
26931 01043C   NO-44
27607 02058C   SO-50
27844 03031E   CO-55
27848 03031J   CO-57
27939 03042A   RS-22
28654 05018A   NOAA-18
28895 05043F   CO-58
30776 07006E   Falconsat-3
32785 08021C   CO-65
32788 08021F   AAUSAT2
32789 08021G   DO-64
32791 08021J   CO-66
32953 08025A   RS-30
33493 09002B   PRISM
33591 09005A   NOAA-19
36799 10035E   TISAT-1
37839 11058B   JUGNU
37841 11058D   SRMSAT
37854 11061E   AO-71
37855 11061F   HRBE
38340 12025D   HORYU-2
38735 12041C   RS-40
39135 13015F   BEESAT-3
39136 13015G   BEESAT-2
39417 13066B   ZACUBE-1
39427 13066M   TRITON-1
39430 13066Q   GOMX-1
39440 13066A   LO-74
39444 13066A   AO-73
39770 14029E   SPROUT
40021 14033M   DUCHIFAT-1
40024 14033Q   NANOSATCBR1
40030 14033W   DTUSAT-2
40032 14033Y   EO-80
40034 14033A   ANTELSAT
40057 14034E   VELOX-1
40071 14037C   DAURIA DX 1
40299 14070B   HODOYOSHI-1
40300 14070C   CHUBUSAT-1
40301 14070D   QSAT-EOS
40377 15003B   FIREBIRD FU3
40378 15003C   FIREBIRD FU4
40379 15003D   GRIFEX
40654 15025D   NO-84
40719 15032E   DEORBITSAIL
40900 15049B   NUDT-PHONESAT
40903 15049E   XW-2A
40906 15049H   XW-2C
40907 15049J   XW-2D
40908 15049K   LILACSAT-2
40909 15049L   XW-2E
40910 15049M   XW-2F
40911 15049N   XW-2B
40912 15049P   DCBB
40926 15051B   TW-1C
40928 15051D   TW-1A
40931 15052B   IO-86
40958 15057A   LQSat
41168 15077C   ATHENOXAT-1
41338 16012B   ChubuSat-2
41339 16012C   ChubuSat-3
41340 16012D   Horyu-4
41458 16025C   OUFTI-1
41459 16025D   e-st@r-II
41460 16025E   AAUSAT4
41557 16033B   LO-87
41558 16033C   NuSat2
41603 16040E   Lapan A3
41607 16040J   Swayam
41783 16059A   Pratham
41789 16059G   AlSat 1N
41790 16059H   ScatSat
41844 16066D   TY-1
41846 16066F   Pegasus-1
41847 16066G   CAS-2T
42017 17008B   EO-88
42759 17034B   CAS-4B
42761 17034D   CAS-4A
42765 17036A   UCLSat
42766 17036B   NIUSat
42768 17036D   LituanicaSAT 2
42775 17036L   Aalto 1
42776 17036M   URSA MAIOR
42778 17036P   Max Valier Sat
42784 17036V   Pegasus
42787 17036Y   NUDATSat
42788 17036Z   SUCHAI 1
42789 17036A   SKCUBE
42790 17036A   VZLUSAT 1
42791 17036A   VENTA 1
42792 17036A   Robusta 1B
42794 17036A   D-SAT
42829 17042E   TechnoSat
42983 98067N   QIKCOM-1
43017 17073E   AO-91
43019 98067N   EcAMSat
43132 18004X   PICSAT
43137 18004A   AO-92
43155 18008A   TianYi 2
43156 18008B   Zhou Enlai
43158 18008D   TianYi 6
43186 18014G   S-Net G
43187 18014H   S-Net H
43188 18014J   S-Net J
43189 18014K   S-Net K
43192 18015A   FMN 1
43199 18015H   Shaonian Xing
43467 98067N   UBAKUSAT
43551 98067N   EnduroSat One
43552 98067P   EQUISat
43589 98067P   UiTMSat 1
43590 98067P   Maya 1
43591 98067P   Bhutan 1
43595 98067P   SiriusSat 1
43596 98067P   SiriusSat 2
43597 98067P   Tanusha-3
43614 18070B   SurfSat
43615 18070C   CP-7 DAVE
43616 18070D   ELFIN-B
43617 18070E   ELFIN-A
43640 98067P   STARS-Me Mother
43666 18083E   CubeBel 1
43669 18083H   Changshagaoxin
43677 18084G   Ten-Koh
43678 18084H   PO-101
43693 18088D   IRVINE 01
43700 18090A   QO-100
43743 18096A   Reaktor Hello World
43758 18099A   MinXSS-2
43770 18099N   AO-95
43772 18099Q   RANGE-B
43773 18099R   RANGE-A
43780 18099Y   MOVE-II
43782 18099A   SNUSat 2
43784 18099A   SnugLite
43786 18099A   ITASat 1
43790 18099A   EAGLET 1
43792 18099A   ESEO
43793 18099A   CSIM
43798 18099A   Astrocast 0.1
43803 18099A   JO-97
43804 18099A   Suomi 100
43805 18099A   Al Farabi 2
43814 18099B   PWSat 2
43855 18104G   CHOMPTT
43879 18111D   ISAT
43880 18111E   UWE-4
43881 18111F   Sparrow
43908 18111A   Lume 1
43933 19003B   FO-98
43937 19003F   FO-99
44030 98067P   Delphini 1
44045 18092F   MYSat 1
44083 19018F   AstroCast 0.2
44103 19018A   AISTechSat 3
44104 19018A   AISat 1
44329 98067Q   Raavana-1
44330 98067Q   Uguisu
44331 98067Q   NepaliSat-1
44339 19036A   Prox-1
44348 19036K   Oculus-ASR
44352 19036P   Armadillo
44354 19036R   NO-104
44355 19036S   NO-103
44360 19036X   CP9
44398 19038N   Move-IIb
44400 19038Q   SONATE
44412 19038A   BeeSat 9
44419 19038F   JAISAT-1
44420 19036A   LightSail-2
44530 19059C   Taurus 1
44830 19084G   MO-106
44831 19084H   TRSI-Sat
44832 19084J   MO-105
44854 19089C   Duchifat 3
44878 19092F   OPS-SAT
44881 19093C   TO-108
44885 19093G   FloripaSat 1
44909 19096E   RS-44
45115 19071E   SwampSat-2
45119 19071J   HO-107
45258 98067R   Phoenix
45261 98067R   AztechSat-1
45263 98067R   QARMAN
45598 98067R   Quetzal 1
50466 21131B   HO-113
47311 21002C   AO-109
54684 22167C   CAS-5A
54816 21035C   CAS-10
50988 22002E   TEVEL-3
53106 22080B   IO-117
